t,y
0,1
0.25,1.0
0.5,0.9922281054276612
0.75,0.9635667195433391
1.0,0.9055972568759595
1.25,0.8142735191240046
1.5,0.6895357299418206
1.75,0.5348360978732911
2.0,0.35656555949259533
2.25,0.1633874604826609
2.5,-0.034502810318689126
2.75,-0.22616301162575025
3.0,-0.4006978533774286
3.25,-0.5480215141831828
3.5,-0.6595485546575237
3.75,-0.7287755878158418
4.0,-0.7517215301967716
4.25,-0.7272020528634817
4.5,-0.6569234121260595
4.75,-0.5453915089522395
5.0,-0.3996430934921855
