t,y_numerical,y_analytical,error
2.4799999999999693,-0.04493982207578948,-0.04544863191578894,0.0005088098399994578
2.4849999999999692,-0.0486601967015581,-0.049164833849031316,0.0005046371474732164
2.489999999999969,-0.05237727943332681,-0.052877723525125375,0.0005004440917985645
2.494999999999969,-0.056090987721179,-0.05658721851172094,0.0004962307905419377
2.499999999999969,-0.0598012390476742,-0.060293236409516136,0.0004919973618419393
2.504999999999969,-0.0635079509301704,-0.06399569485457585,0.0004877439244054399
2.5099999999999687,-0.0672110409231443,-0.06769451152064758,0.0004834705975032827
2.5149999999999686,-0.07091042662050921,-0.07138960412147607,0.0004791775009668625
2.5199999999999685,-0.07460602565793083,-0.07508089041311458,0.00047486475518375426
2.5249999999999684,-0.07829775571514053,-0.07876828819623448,0.00047053248109395207
2.5299999999999683,-0.08198553451824646,-0.08245171531843226,0.0004661808001858031
2.534999999999968,-0.08566927984204205,-0.0861310896765343,0.00046180983449224666
2.539999999999968,-0.08934890951231214,-0.08980632921889879,0.0004574197065866509
2.544999999999968,-0.0930243414081366,-0.09347735194771548,0.0004530105395788714
2.549999999999968,-0.09669549346419126,-0.09714407592130256,0.0004485824571112962
2.5549999999999677,-0.10036228367304632,-0.10080641925640112,0.0004441355833547933
2.5599999999999676,-0.10402463008746204,-0.10446430013046692,0.00043967004300488055
2.5649999999999675,-0.10768245082268169,-0.10811763678395923,0.00043518596127754827
2.5699999999999674,-0.11133566405872168,-0.11176634752262701,0.00043068346390533196
2.5749999999999673,-0.11498418804265899,-0.11541035071979233,0.0004261626771333432
2.579999999999967,-0.11862794109091554,-0.1190495648186306,0.00042162372771506473
2.584999999999967,-0.12226684159153975,-0.12268390833444831,0.0004170667429085617
2.589999999999967,-0.12590080800648504,-0.1263132998569574,0.000412491850472374
2.594999999999967,-0.12952975887388535,-0.12993765805254676,0.00040789917866140835
2.599999999999967,-0.1331536128103275,-0.13355690166655054,0.00040328885622303856
2.6049999999999667,-0.1367722885131205,-0.13717094952551337,0.0003986610123928591
2.6099999999999666,-0.1403857047625616,-0.14077972053945237,0.0003940157768907715
2.6149999999999665,-0.14399378042419902,-0.14438313370411618,0.00038935327991715396
2.6199999999999664,-0.14759643445109166,-0.1479811081032399,0.00038467365214822635
2.6249999999999662,-0.15119358588606513,-0.15157356291079765,0.00037997702473252515
2.629999999999966,-0.15478515386396463,-0.15516041739325126,0.0003752635292866291
2.634999999999966,-0.1583710576139043,-0.1587415909117953,0.00037053329789099587
2.639999999999966,-0.16195121646151303,-0.16231700292459916,0.00036578646308613183
2.644999999999966,-0.1655255498311768,-0.16588657298904497,0.00036102315786817885
2.6499999999999657,-0.16909397724827735,-0.16945022076396243,0.00035624351568508406
2.6549999999999656,-0.1726564183414273,-0.1730078660118599,0.00035144767043260305
2.6599999999999655,-0.17621279284470154,-0.1765594286011512,0.0003466357564496647
2.6649999999999654,-0.1797630205998647,-0.18010482850837967,0.00034180790851495724
2.6699999999999653,-0.1833070215585952,-0.18364398582043753,0.00033696426184232076
2.674999999999965,-0.18684471578470505,-0.18717682073678193,0.0003321049520768893
2.679999999999965,-0.19037602345635596,-0.19070325357164677,0.00032723011529081636
2.684999999999965,-0.19390086486827157,-0.194223204756251,0.00032233988797941704
2.689999999999965,-0.19741916043394547,-0.19773659484100217,0.00031743440705669923
2.6949999999999648,-0.20093083068784537,-0.20124334449769676,0.00031251380985139465
2.6999999999999647,-0.20443579628761305,-0.20474337452171598,0.0003075782341029343
2.7049999999999645,-0.2079339780162602,-0.2082366058342174,0.00030262781795720173
2.7099999999999644,-0.21142529678436014,-0.2117229594843224,0.0002976626999622589
2.7149999999999643,-0.21490967363223512,-0.21520235665129972,0.00029268301906459904
2.7199999999999642,-0.2183870297321395,-0.21867471864674393,0.00028768891460442814
2.724999999999964,-0.22185728639043853,-0.22213996691675064,0.0002826805263121124
2.729999999999964,-0.22532036504978264,-0.22559802304408633,0.00027765799430368165
2.734999999999964,-0.2287761872912775,-0.229048808750354,0.0002726214590764997
2.739999999999964,-0.23222467483664935,-0.23249224589815495,0.0002675710615056004
2.7449999999999637,-0.23566574955040595,-0.23592825649324511,0.00026250694283916354
2.7499999999999636,-0.23909933344199286,-0.2393567626866872,0.0002574292446943516
2.7549999999999635,-0.24252534866794515,-0.24277768677699843,0.000252338109053285
2.7599999999999634,-0.24594371753403435,-0.24619095121229329,0.0002472336782589346
2.7649999999999633,-0.24935436249741078,-0.24959647859242112,0.00024211609501034737
2.769999999999963,-0.25275720616874087,-0.2529941916711004,0.00023698550235951021
2.774999999999963,-0.25615217131434,-0.25638401335804595,0.0002318420437059654
2.779999999999963,-0.25953918085829997,-0.2597658667210938,0.00022668586279384062
2.784999999999963,-0.2629181578846121,-0.26313967498831853,0.00022151710370643674
2.7899999999999627,-0.2662890256392849,-0.266505361550148,0.00021633591086306359
2.7949999999999626,-0.2696517075324571,-0.26986284996147125,0.00021114242901415503
2.7999999999999625,-0.2730061271405051,-0.2732120639437426,0.0002059368032374942
2.8049999999999624,-0.2763522082081458,-0.2765529273870794,0.0002007191789335505
2.8099999999999623,-0.2796898746505341,-0.279885364352356,0.00019548970182192704
2.814999999999962,-0.2830190505553548,-0.2832092990732914,0.00019024851793658648
2.819999999999962,-0.2863396601849102,-0.286524655958532,0.00018499577362179886
2.824999999999962,-0.2896516279782011,-0.28983135959372885,0.00017973161552775618
2.829999999999962,-0.2929548785530036,-0.29312933474361064,0.00017445619060701967
2.8349999999999618,-0.29624933670793974,-0.2964185063540492,0.00016916964610946827
2.8399999999999617,-0.299534927424543,-0.2996987995541215,0.00016387212957846842
2.8449999999999616,-0.3028115758693184,-0.3029701396581652,0.00015856378884682165
2.8499999999999615,-0.3060792073957966,-0.3062324521678286,0.00015324477203199072
2.8549999999999613,-0.309337747546583,-0.30948566277411543,0.0001479152275324358
2.8599999999999612,-0.31258712205540085,-0.312729697359424,0.00014257530402317364
2.864999999999961,-0.31582725684912855,-0.31596448199958,0.00013722515045144767
2.869999999999961,-0.31905807804983166,-0.31918994296586406,0.00013186491603239814
2.874999999999961,-0.32227951197678867,-0.32240600672703396,0.00012649475024528734
2.879999999999961,-0.32549148514851123,-0.3256125999513401,0.0001211148028288922
2.8849999999999607,-0.3286939242847585,-0.32880964950853553,0.00011572522377700789
2.8899999999999606,-0.33188675630854536,-0.33199708247188037,0.00011032616333500611
2.8949999999999605,-0.3350699083481448,-0.3351748261201396,0.00010491777199478358
2.8999999999999604,-0.3382433077390845,-0.33834280793957544,0.00009950020049093178
2.9049999999999603,-0.341406882026137,-0.34150095562593347,0.00009407359979646257
2.90999999999996,-0.3445605589653039,-0.34464919708642217,0.00008863812111825631
2.91499999999996,-0.3477042665257941,-0.3477874604416875,0.00008319391589339808
2.91999999999996,-0.35083793289199555,-0.35091567402777984,0.00007774113578429276
2.92499999999996,-0.35396148646544096,-0.35403376639811596,0.00007227993267500121
2.9299999999999597,-0.3570748558667672,-0.35714166632543337,0.00006681045866618884
2.9349999999999596,-0.3601779699376684,-0.3602393028037402,0.0000613328660718504
2.9399999999999595,-0.36327075774284245,-0.3633266050502568,0.000055847307414369496
2.9449999999999594,-0.36635314857193163,-0.3664035025073519,0.000050353935420244245
2.9499999999999593,-0.36942507194145596,-0.36946992484447233,0.00004485290301636802
2.954999999999959,-0.3724864575967409,-0.3725258019600662,0.00003934436332525548
2.959999999999959,-0.37553723551383794,-0.37557106398349904,0.00003382846966110131
2.964999999999959,-0.37857733590143877,-0.3786056412769639,0.00002830537552511725
2.969999999999959,-0.38160668920278284,-0.3816294644373847,0.000022775234601868366
2.974999999999959,-0.38462522609755834,-0.3846424642983129,0.000017238200754554622
2.9799999999999587,-0.3876328775037961,-0.3876445719318169,0.000011694428020792014
2.9849999999999586,-0.3906295745797573,-0.3906357186503658,0.000006144070608504748
2.9899999999999585,-0.39361524872581366,-0.39361583600870537,0.0000005872828917063977
2.9949999999999584,-0.39658983158632155,-0.39658485580572733,0.0000049757805942185485
2.9999999999999583,-0.3995532550514885,-0.39954271008633246,0.000010544965156011887
3.004999999999958,-0.4025054512592332,-0.4024893311432858,0.000016120115947426683
3.009999999999958,-0.4054463525970386,-0.4054246515190652,0.000021701077973390603
3.014999999999958,-0.4083758917037975,-0.4083486040077036,0.0000272876960938917
3.019999999999958,-0.41129400147165157,-0.41126112165662265,0.0000328798150289189
3.0249999999999577,-0.41420061504782296,-0.4141621377684611,0.000038477279361848193
3.0299999999999576,-0.41709566583643903,-0.41705158590289454,0.00004407993354449413
3.0349999999999575,-0.41997908750034957,-0.41992939987844863,0.000049687621900940115
3.0399999999999574,-0.4228508139629371,-0.42279551377430524,0.00005530018863186825
3.0449999999999573,-0.4257107794099197,-0.42564986193210064,0.000060917477819055765
3.049999999999957,-0.4285589182911465,-0.42849237895771736,0.00006653933342914975
3.054999999999957,-0.4313951653223861,-0.4313229997230676,0.00007216559931849664
3.059999999999957,-0.43421945548710705,-0.43414165936787025,0.00007779611923680596
3.064999999999957,-0.43703172403825175,-0.4369482933014197,0.00008343073683203528
3.0699999999999568,-0.4398319065000018,-0.43974283720434776,0.00008906929565405397
3.0749999999999567,-0.44261993866953686,-0.44252522703037744,0.00009471163915941716
3.0799999999999566,-0.44539575661878517,-0.4452953990080701,0.00010035761071508498
3.0849999999999564,-0.44815929669616694,-0.4480532896425637,0.00010600705360325202
3.0899999999999563,-0.45091049552832996,-0.45079883571730484,0.00011165981102512212
3.0949999999999562,-0.45364929002187737,-0.45353197429577197,0.00011731572610540475
3.099999999999956,-0.4563756173650881,-0.45625264272319166,0.00012297464189642282
3.104999999999956,-0.459089415029629,-0.45896077862824664,0.00012863640138238708
3.109999999999956,-0.46179062077225996,-0.46165631992477607,0.00013430084748389248
3.114999999999956,-0.46447917263653027,-0.4643392048134685,0.00013996782306174849
